medicamento,substancia
VASopressina 20 U/ML-1ML-EV-NEO BS (MEDICAMENTO DE RISCO),Vasopressina
ANFOTERICINA B 50MG FA,ANFOTERICINA B DESOXICOLATO (NORMAL)
INATIVO ROSUVASTATINA CALCICA 10MG COMP - MESTRE (NP),ROSUVASTATINA CALCICA
GANciclovir 500MG SOL.INJ,GANCICLOVIR
"CarBAMazepina 20 MG/ML (2%), SUSPENSÃO ORAL 100 ML (C1) FR 1UD  ",CARBAMAZEPINA
Lidocaina 2% 10 g Geléia uso Topico,LIDOCAINA (TOPICO)
NiFEDipino 20 mg comprimido ,NIFEDIPINO
GLICLAZIDA 30 mg,GliCLAZida
Cloreto De Sódio 20% 10ml,"CLORETO DE SODIO >=1,5% (HIPERTONICA)"
Pregabalina 150mg ,PREGABALINA
Atlansil 200mg Cp,AMIODARONA
Cefalexina 250mg/5mL susp. oral frasco c/ 100mL,Cefalexina
DOBUTamina 250MG/20ML - EV PED BS (MEDICAMENTO DE RISCO),Dobutamina
PREDNISONA 5 MG COMPRIMIDO,PredniSONA
Januvia Comprimido Revestido 100mg,SITAGLIPTINA
IODIXANOL 270 SOL INJ 27500MG/50ML FR,IODIXANOL
SULFATO DE MAGNESIO 10% 10ML - IM (MEDICAMENTO DE RISCO),SULFATO DE MAGNESIO
ATENOlol 25MG CPR (SANDOZ),ATENOLOL
CiclosPORINA CAPSULA GELATINOSA 50MG,CiclosPORINA
PREDNISOLONA SUSP 3MG/ML 100ML,PrednisoLONA
Selpercatinibe 80mg Cap (Uso Compassivo) (Não Padrão),SELPERCATINIBE
NiFEDipino 10mg Cáp.,NIFEDIPINO
CITALOPRAM 20MG (PROCIMAX),CITALOPRAM
Sulfato de HidroxiCLOROQUIna 400mg  Comprimido Revestido,HIDROXICLOROQUINA
ALIVium 100mg/mL Susp oral 20mL,IBUPROFENO
Resource glutamina sache c/ 5 g,GLUTAMINA
Efurix Creme 5% 50mg/g Creme 15g (Não Padrão),FLUOROURACILA
SACCHAROMYCES BOULARDII 200MG CAPSULA,SACCHAROMYCES BOULARDII
"CLORETO DE SODIO 0,9% SOL. INJETAVEL AMP 10ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
"CloNIDina CLORIDRATO COMPRIMIDO 0,150MG",CLONIDINA
"LORAZEPAN 0,2MG/ML 50 ML - SOLUCAO ORAL",LORAZEPAM
CEFALEXINA 500MG  CAPS. (KEFLEX),Cefalexina
Amantadina 100 mg cp. ,AMANTADINA
AGUA BIDESTILADA SOLUCAO INJETAVEL AMPOLA 10ML,AGUA DESTILADA
ENDOFOLIN 5 MG COMP,ACIDO FOLICO (VITAMINA B9)
HEMIFUMARATO DE BISOPROLOL 10 mg,BISOPROLOL
"ACET. DE DESMopressina 0,1MG/ML SRAY NASAL FR 5ML",DESMopressina
"SOROTERAPIA - CLORETO DE SODIO SOL INJ 0,9% FR SIS FEC 100ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
FENOBARBITAL 100MG/ML C/2ML - Infantil,FENOBARBITAL
ESPIRONOLACTONA COMPRIMIDOS,ESPIRONOLACTONA
"CLORETO DE SODIO 0,9% - 125ML FR (SF)","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
FentaNILa 50mcg/mL Sol inj 2mL (Med. Controlado),FENTANILA
DIFENIDRIN 50 MG/ML-1 ML AMP IM/IV-DifenidrAMINA,DIFENIDRAMINA
ClorproMAZINA gotas 40 mg/mL 1 mg/gota frasco 20 mL (400 gotas) (C1),ClorproMAZINA
Domperidona 1 mg/mL Susp. oral  Fr 100 mL,DOMPERIDONA
Disfosfato de Cloroquina 150mg - Ministério Da Saúde,CLOROQUINA
Carbidopa 25mg / Levodopa 250mg Comprimido,CARBIDOPA + LEVODOPA
"Tirofibana 12,5mg (0,25mg/ml) Frasco-ampola 50ml",TIROFIBANA	
LevoTIROXina Sódica 25mcg | Comprimido,LevoTIROXina
OMEPRAZOL 40MG - INTRAVENOSO,OMEPRAZOL
Prometazina 50mg/2mL amp,PROMETAZINA
bicarbonato de sodio 84 mg/ml solucao injetavel bolsa 250mL,BICARBONATO DE SODIO
REPARIL GEL 10MG/G+50MG/G TB 30G - ESCINA+DIETILAMONIO (NP),ESCINA + DIETILAMONIO (TÓPICO)
ENTRESTO 50MG 28 CP REV,SACUBITRIL + VALSARTANA
ZINPASS  EZE 20MG/10MG 30 CP REV,EZETIMIBA + ROSUVASTATINA
DEXAMETASONA 4MG CP,DEXAMETASONA
Prozac 20mg Cáp.,FLUOXETINA
DICLOFENACO SODICO SOL INJ 75MG/3ML AMP (NP),DICLOFENACO SODICO
CLORIDRATO DE ONDANSETRONA 4 mg,ONDANSETRONA
GENCITabina 1000MG FAM,GENCITABINA
DEXCLORFENIRAMINA 6mg DRAG,DEXCLORFENIRAMINA
ERITROPOETINA FR AMP 10.000UI,ALFAEPOETINA (ERITROPOETINA)
Domperidona 10mg Cp. ,DOMPERIDONA
Piridostigmina Brometo 60mg Cp.,PIRIDOSTIGMINA
AGUA DESTILADA SOL INJ AMPOLA 10ML,AGUA DESTILADA
Vitamina B1 (tiamina) 100mg + Vitamina B6 (piridoxina) 100mg Ampola 1ml / Vitamina B12 (cianocobalamina) 5000mcg - Dose = Ampola I 1ml + Ampola II 1ml  #,TIAMINA (VITAMINA B1) + PIRIDOXINA (VITAMINA B6) + CIANOCOBALAMINA (VITAMINA B12)
"TIMOLOL 0,5% 5ML SOL.OFT",TIMOLOL (OFTALMICO)
Puran T4 25mcg Cp,LevoTIROXina
"Torgena 2,5g Frasco-ampola",CEFTAZIDIMA + AVIBACTAM
Cloreto de cálcio 10% Sol inj 10mL (Alta Vigilância),CLORETO DE CALCIO
VIGABATRINA 500MG COMPRIMIDO,Vigabatrina
PROPRANOLOL 80MG CP,PROPRANOLOL
(NP) Creme Barreira Transparente (Hipoglos) 120gr ,CREME PROTETOR
"TERBUTALINA INJETAVEL 1 ML ,5 MG/ML AMP",TERBUTALINA
MEROPENEM 1g IV,MEROPENEM
PREDNISOLONA 3MG/ML SOLUCAO ORAL,PrednisoLONA
Baclofeno 10mg Cp,BACLOFENO
"Tobrex 0,3% (3mg/ml) Solução Oftálmica Frasco 5ml",TOBRAMICINA (OFTALMICO)
Eritromicina 1000mg Fr.amp.,ERITROMICINA
Eszopiclona 2mg,ESZOPICLONA
HIDROCORTISONA 1MG/ML SOL ORAL 100ML,HIDROCORTISONA SUCCINATO SODICO
Olmesartana 20mg + Anlodipino 5mg Comprimido Revestido,OLMESARTANA + ANLODIPINO
BILASTINA 20MG COMP - ALEKTOS (NP),BILASTINA
Olmesartana 20mg,OLMESARTANA
Meropenem 1g inj,MEROPENEM
Itraconazol 20mg/ml Frasco 250ml - Manipulado (Formularium),ITRACONAZOL
Água Extra,AGUA FILTRADA
"AFATINIBE 30MG, DIMALEATO (MEDICAMENTO DE RISCO)",AFATINIBE
FENOBARBITAL SOLUCAO INJETAVEL 200MG/ML 1ML @,FENOBARBITAL
"Denosumabe 120mg/1,7ml Frasco Ampola",DENOSUMABE
CLORETO DE POTASSIO 6%  XAROPE 100ML,CLORETO DE POTASSIO
SOLUCAO GLICOSE 10% 250 ML,SOLUCAO DE GLICOSE (SORO GLICOSADO)
MEDICAMENTO DO PACIENTE - CTI 1,MEDICAMENTO DO PACIENTE
CICLOSPORINA 50MG CAPS (CEAF),CiclosPORINA
IMUNOGLOBULINA HUMANA 2G IV,IMUNOGLOBULINA HUMANA
Metformina Cloridrato 500mg Cp.,METFORMINA
FLUCONAZOL FRASCO C/ 200MG/100ML,FLUCONAZOL
Pentasa 1000mg Supositório,MESALAZINA
"ENOXAPARINA 40 MG/0,4 ML - SERINGA",ENOXAPARINA SODICA
MC: INSULINA,INSULINA REGULAR
AGUA DESTILADA 10ML AMP,AGUA DESTILADA
TRAMADOL 50MG/ML - AMP 1ML,TRAMADOL CLORIDRATO
"Enoxaparina 40mg Inj. C/ 0,4mL (AV)",ENOXAPARINA SODICA
"CARBONATO DE LITIO 300 MG, COMPRIMIDO (C1) 300 mg",CARBONATO DE LITIO
Naprix 5mg Comprimido,RAMIPRIL
SONEBON CP,NITRAZEPAM
Selene Comprimido Revestido,CIPROTERONA + ETINILESTRADIOL
Indometacina 50mg,INDOMETACINA
"Cafeina, Citrato 7,5mg/mL Sol Oral 30mL Manip",CAFEINA
Ácido Ursodesoxicólico 50mg,acido ursodesoxicolico
"SULFAMETOXAZOL40MG/ML+TRIMET. 8MG/ML SOL ORAL FR 100ML ""NP""",SULFAMETOXAZOL+TRIMETOPRIMA
DIMENIDRATO 50MG+VIT B6 50MG SOL INJ IM,DIMENIDRINATO + PIRIDOXINA(B6)
"CAFEINA 30MG, DIPIRONA 300MG, ISOMETEPTENO 30MG(NE",ISOMETEPTENO + DIPIRONA +CAFEINA
Hemo-8r 1.000 UI Inj (Não Padrão),FATOR VIII DE COAGULAÇAO
CLORETO FERRICO GEL HEMOSTATICO 10G,CLORETO FERRICO (TOPICO)
clorEXIDINA  2% SABONETE LIQUIDO 100mL,CLOREXIDINA
"ACIDO FOLICO 0,2MG/ML  GOTAS",ACIDO FOLICO (VITAMINA B9)
Gino-Canesten 100/5g Creme vaginal 20g (Não Padrão),CLOTRIMAZOL (TOPICO)
"AVAMYS 27,5MCG/DOSE 120 DOSES FR",FLUTICASONA
Tramadon 50mg (50mg/ml) Amp/1ml,TRAMADOL CLORIDRATO
Loratadina 10mg cp,LORATADINA
ACETILCISTEINA 10% 300MG 3ML EV PED,ACETILCISTEINA
"ACET. DE GOSSERRELINA 10,8MG SOL. INJETAVEL SER PREENCHIDA",GOSSERRELINA
CIANOCOBALAMINA (VITAMINA B12) 5000MCG - AMPOLA I + CLORIDRATO DE TIAMINA (VITAMINA B1) 100MG + CLORIDRATO DE PIRIDOXINA (VITAMINA B6) 100MG AMPOLA II- SOLUÇÃO INJETÁVEL - VIA INTRAMUSCULAR - AMPOLA,TIAMINA (VITAMINA B1) + PIRIDOXINA (VITAMINA B6) + CIANOCOBALAMINA (VITAMINA B12)
DEMI D 50.000 UI 4 CP REV,COLECALCIFEROL (VITAMINA D)
NOCTIDEN 10MG 30 CP REV B1,ZOLPIDEM
HidrALAZINA  25MG VO,HidrALAZINA
Clotrimazol 1% Creme Tubo C/ 20g (A),CLOTRIMAZOL (TOPICO)
DAUNORRUBICINA 20MG FR AMP,DAUNORRUBICINA
Defibrotide 200 mg fr ampola ,Defibrotida
"POLIHEXAM LIQUIDO 0,1%  350ML",CLOREXIDINA
Flagyl 400mg Cp rev (Não Padrão),metronidazol
LevoFLOXacino 250 Mg Cp.,LEVOFLOXACINO
HumULIN N 100ui/ml Frasco 10ml #,INSULINA HUMANA NPH
"Levofloxacino 5mg/mL 100mL, frasco (IV)",LEVOFLOXACINO
QT MORFINA 30MG - CPR - MPP,SULFATO DE MORFINA
CLORETO DE POTASSIO 600MG,CLORETO DE POTASSIO
METILPREDNISOLONA 500MG FA - 10ML (SOLU MEDROL),METILPREDNISOLONA
CLORIDRATO DE METOCLOPRAMIDA 5MG/ML - 2ML (10MG) – SOLUÇÃO INJETÁVEL - AMPOLA,METOCLOPRAMIDA
MORFINA 1MG/ML - AMPOLA 2ML - M.P.P. - HEUE,SULFATO DE MORFINA
FENOBARBITAL 40MG/ML SOLUCAO ORAL DOSE 40 GOTAS,FENOBARBITAL
IOPAMIDOL 755MG/ML FRASCO 50ML,IOPAMIDOL
Kanakion IM 10 mg /mL amp 1 mL,FITOMENADIONA (VITAMINA K)
Propantelina 5mg/ml Solução Oral Frasco 100ml - Manipulado,PROPANTELINA
Sacarato de Hidróxido Férrico 20mg/ml  amp 5 ml,FERRIPOLIMALTOSE (FERRO HIDROXIDO SACARATO)
HaloPERidol solucao 2 mg/mL frasco 20 mL (400 gotas) (C1),HaloPERidol
CEFTRIAXONA PO LIO 1G FA RP,CefTRIAXona
Somalgin cardio 100 mg comp.(NÃO PADRONIZADO),ACIDO  ACETILSALICILICO + GLICINATO DE ALUMINIO +  CARBONATO DE MAGNESIO                                              
Dexclorfeniramina 2mg cp,DEXCLORFENIRAMINA
IMIPRAMINA 25MG - CP,IMIPRAMINA
HIDROCORTISONA 500MG - PO P/ SUSP INJETAVEL - F/A,HIDROCORTISONA SUCCINATO SODICO
INSULINA LISPRO 100UI/ML 10ML FA,INSULINA LISPRO
"DECADRON 0,5MG/ML 60ML FRASCO",DEXAMETASONA
NIQUITIN 21MG ADESIVO,NICOTINA (TRANSDERMICO)
"Ramipril 5mg + HidroCLOROTiazida 12,5mg Comprimido",RAMIPRIL + HIDROCLOROTIAZIDA
CLORIDRATO DE ESCETAMINA  SOL INJ  100MG/2ML AMP,DEXTROCETAMINA (ESCETAMINA)
MC: SINVASTATINA,SINVASTATINA
MPP:  PERINDOPRIL ARGININA 10 MG,PERINDOPRIL ARGININA (PERINDOPRIL ERBUMINA)
"AMOXICILINA 250 mg + CLAVULANATO DE POTASSIO 62,5 mg",AMOXICILINA + CLAVULANATO POTASSIO
CEFEPIMA PO/SOL INJ 2G+BOLSA 100ML DE DIL C/ SITIO,CEFEPIMA
"TOBRamicina 3mg/g + DEXAmetasona 1mg/g Pomada oftálmica 3,5g",TOBRAMICINA + DEXAMETASONA (OFTALMICO)
AMINOFILINA 100MG CP,AmiNOFILina
Cloreto de Sódio 0.9% (Soro Fisiológico) Bolsa 2000ml,"CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
"Carvedilol 3,125mg Cp",CarVEDilol
SULFAMETOXAZOL+TRIMET. 400MG+80MG COMP,SULFAMETOXAZOL+TRIMETOPRIMA
"Ampicilina 1g +  Sulbactam 0,5g Inj",AMPICILINA SODICA + SULBACTAM
MC: ROSUVASTATINA,ROSUVASTATINA CALCICA
OMCILON AM CREME 30G BNG,TRIANCINOLONA ACETONIDA + NEOMICINA + GRAMICIDINA + NISTATINA (TOPICA)
ANIDULAFUNGINA PO LIO 100MG FA,ANIDULAFUNGINA
"DILTIAZEM, CLORIDRATO 60MG CPR",DILTIAZEM
"FLUMAZENIL 0,1MG / ML 5ML IV",FLUMAZENIL
PANTOPRAZOL SODICO SESQUI-HIDRATADO 40 mg,PANTOPRAZOL
Primaquina 15mg cp (SUS) ,PRIMAQUINA
LamOTRIGina 25mg Comprimido Eurofarma,LAMOTRIGINA
AMPICILINA 1G + SF0.9% 100ML -  EV,AMPICILINA
"Dequadin 0,25/5mg Pastilha",CLORETO DE DEQUALINIO + BENZOCAINA
Frontal 2mg Cp (Med. Controlado) (Não Padrão),ALPRAZOLAM
Betacris 1mg/ml Sol. Amp. 5ml,METOPROLOL TARTARATO
MINOXIDIL 5MG  (NP),MINOXIDIL
Ultravist 300  Frasco C/ 100  Ml (AV),IOPROMIDA
CILOSTAZOL 50MG 30 CP EURO GEN,Cilostazol
ESCITALOPRAM 15MG CPREV,ESCitalopram
NiMODipino 30MG COMP. (NIMOTOP),NiMODipino
SALBUTAMOL INFUSAO CONTINUA (20 MCG/ML),SALBUTAMOL (ALBUTEROL)
AMIODARONA 50MG/3ML (ANCORON),AMIODARONA
GENTAmicina  80MG / 2ML IMIV,GENTAMICINA
Dantrolen 20mg Frasco-ampola 60ml,DANTROLENO
Ampicilina 1g FA,AMPICILINA
ESOMEPRAZOL MAGNESIO COMPRIMIDO REVESTIDO LIBERACAO RETARDADA 40MG,ESOMEPRAZOL MAGNESIO
HyQvia 10% 5g/50mL Sol inj,IMUNOGLOBULINA HUMANA
DOMPERIDONA 10 MG COMPRIMIDO,DOMPERIDONA
Azitromicina 500mg Cp Rev,AZITROMICINA
ASPIRINA 500MG - CP,ACIDO ACETILSALICILICO >200MG
"FARMACOT - CEFEPIMA 20MG/ML SOL INJ EM SF 0,9%",CEFEPIMA
VASopressina 20UI ampola c/ 1mL,Vasopressina
PROMETAZINA 25MG/ML C/2ML INJ,PROMETAZINA
"NEOSTIGMINA 0,5MG/ML AMPOLA 1ML",NEOSTIGMINA
SEREtide spray 25/125mcg Susp aerossol (120 doses),SALMETEROL + FLUTICASONA
CefaLOTina 1G FA,Cefalotina
"MC: CLORTALIDONA 12,5 ",CLORTALIDONA
METOprolol (SUCCINATO) 25MG,METOPROLOL SUCCINATO
ALTEPLASE 1MG/ML 50ML FA,ALTEPLASE
Sucralfato 1g CPR,SUCRALFATO
TOPIRAMATO 25MG COMPRIMIDO (BLISTER),TOPIRAMATO
"Desloratadina 0,5mg/ml 60ml",DESLORATADINA
Zolpidem 1mg Cap (Med. Controlado) (Não Padrão),ZOLPIDEM
"Coreg 12,5 Comprimido",CarVEDilol
"TERBUTALINA 0,5MG/1ML - EV - BS - PED",TERBUTALINA
LACOSAMIDA 10MG/ML 20ML SOL.INJ,LACOSAMIDA
Sulfato de polimixina B 500.000 UI FA,POLIMIXINA B SULFATO
CARFILZOMIBE 2MG/ML- PESQUISA CLINICA,CARFILZOMIBE
SAF GEL 85G,ALGINATO DE SODIO + ALINATO DE CALCIO (TOPICO)
CETOCONAZOL SHAMPOO - 100 ML,CETOCONAZOL (TÓPICO)
Ultravist 370 100ml FA iopromida (contraste iodado nao ionico),IOPROMIDA
Prolia 60mg/1ml seringa,DENOSUMABE
"Sodio, Nitroprussiato de 50mg Fr-Amp",NITROPRUSSIATO (NITROPRUSSETO)
Temozolomida 140 mg capsula ,TEMOZOLOMIDA
KIT PRISMAFLEX ST60,POLIVITAMINICO + MINERAIS
METOCLOPRAMIDA (SUSPENSÃO ORAL) 4 mg/mL,METOCLOPRAMIDA
Lamotrigina 100mg Comprimido,LAMOTRIGINA
Nipride 50mg/2ml Frasco-ampola,NITROPRUSSIATO (NITROPRUSSETO)
CETAMINA 50MG 10ML (CLORIDRATO) - FRASCO AMPOLA,CETAMINA
CLARITROMICINA 500MG - INJETAVEL,CLARITROMICINA
TETRACAINA+FENILEFRINA+AC.BORICO,TETRACAINA + FENILEFRINA + ACIDO BORICO (OFTALMICO)
"Refresh Gel Oftálmico 0,3% 10g",CARBOMER (ACIDO POLIACRILICO) (OFTÁLMICO)
MEROpenem 500mg,MEROPENEM
BUTILBROMETO DE ESCOPOLAMINA 10 mg + DIPIRONA 250 mg,ESCOPOLAMINA + DIPIRONA
AMINOFILINA 24O MG AMPOLA 10 ML,AmiNOFILina
(Do paciente ) Dexlansoprazol 60 mg cap,DEXLANSOPRAZOL
PredniSONA 5 mg Cp.,PredniSONA
PROTOCOLO DOR MODERADA (CODEINA 30MG + PARACETAMOL 500MG CP),CODEINA + PARACETAMOL (ACETAMINOFEM)
Formoterol+ budesonida 12 + 400 mcg pó inalador frasco60 doses NÃO PADRÃO,FORMOTEROL + BUDESONIDA
"QUETIAPINA, HEMIFUMARATO COMP. REV. 100 MG ""NP""",QUEtiapina
DIAZEPAM 10MG/2ML  2ML (SUBSIDIADO),DIAZEPAM
HIDROXIDO DE ALUMINIO + MAGNESIO (ORALPACK 10ML),HIDROXIDO DE ALUMINIO + MAGNESIO
"Alfaporactanto 80mg/mL FA 1,5mL - Curosurf",ALFAPORACTANTO (SURFACTANTE)
"Cloreto de Sodio 0,9 % solucao injetavel Frasco 100 mL SISTEMA FECHADO ISENTO PVC","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
ARIMIDEX 28 CP C,ANASTROZOL
SIMETICONA (DIMETICONA) 75MG/ML GOTAS,SIMETICONA
ONDANSETRONA 2MG/ML SOL.INJ. AMPOLA 2ML (4MG/2ML),ONDANSETRONA
Paracetamol 10mg/mL bolsa c/ 100mL,PARACETAMOL  (ACETAMINOFEM)
losartana 50 mg comprimido revestido,LOSARTANA
SORO GLICOSADO 5% 1000ML,SOLUCAO DE GLICOSE (SORO GLICOSADO)
RifAMPICina 300 MG 300 mg,Rifampicina
"FENTANIL 0,1MG/2ML INJ + SG 5% 100 ML",FENTANILA
"OLANZapina 5mg + Aspartame 0,6mg Comprimido Orodispersível",OLANZAPINA + ASPARTAME
Creme Com Extrato de Camomila 2% (20mg/g) Creme Bisnaga 30g - Manipulado,CAMOMILA (TOPICO)
HidrALAZINA 25 mg,HidrALAZINA
"DROPERIDOL 2,5MG/ML - AMPOLA 1ML",DROPERIDOL
DIMENIDRINATO+ PIRIDOXINA AMPOLA 10ML,DIMENIDRINATO + PIRIDOXINA(B6)
"CLORETO DE CALCIO 10% 5 ML (1,4MEQ CALCIO/ML)",CLORETO DE CALCIO
POLISSULFATO DE MUCOPOLISSACARIDEO POMADA 3MG/G 40G,POLISSULFATO DE MUCOPOLISSACARIDEO  (TÓPICO)
INSULINA NPH HUMANA 100U/ML C/10ML INJ,INSULINA HUMANA NPH
IVABRADINA CLORIDRATO COMPRIMIDO REVESTIDO 5MG,IVABRADINA
ANFOTERICINA B 50MG PO LIOF INJ,ANFOTERICINA B DESOXICOLATO (NORMAL)
Ginkgo Biloba 120mg Cap (Importado) (Não Padrão),GINKGO
Glicerofosfato de sódio 216mg/mL injetável FA 20ml,GLICEROFOSFATO DE SODIO
Enalapril 10mg Cp,ENALAPRIL MALEATO
DULoxetina Cloridrato 60mg cp,Duloxetina
DIMENIDRINATO 50mg + PIRIDOXINA 10mg COMP ,DIMENIDRINATO + PIRIDOXINA(B6)
RITMONORM 300MG COMP REV-PROPAFENONA,PROPAFENONA
sulfADIAZINA 500MG COMP,SulfADIAZINA
"DEXAMETASONA 10MG/2,5ML (ADULTO) - (DECADRON) INTRAMUSCULAR",DEXAMETASONA
Agua para Injetaveis - ampola 10mL  ,AGUA PARA INJECAO
lactASE 10.000ui Comprimido Mastigavel,LACTASE
ISATUXIMABE 20MG/ML - PESQUISA CLINICA,ISATUXIMAB
TRAMAL 100MG- 2ML - IM(MEDICAMENTO DE RISCO),TRAMADOL CLORIDRATO
ACIDO TRANEXAMICO 250MG/5ML INJ KIT CC,ACIDO TRANEXAMICO
METRONIDAZOL 400 MG COMPRIMIDO,metronidazol
Azacitidina 100 mg po liofilo injetavel frasco/ampola,AZACITIDINA
GLICOSE 50% 10ML AMP,SOLUCAO DE GLICOSE (SORO GLICOSADO)
"Cloreto de Sodio 0,9% frasco 1000 mL Sistema fechado","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
Sais para reidratação oral pó para solução 1000ml,CLORETO DE SODIO + CITRATO DE POTASSIO MONOIDRATADO + CITRATO DE SODIO DI-HIDRATADO + GLICOSE ANIDRA
REPATHA 140MG/ML 2 CANETAS GELAD,EVOLOCUMABE
MC: ENALAPRIL 10MGSE ,ENALAPRIL MALEATO
PALMITATO RETINOL + COLECALCEFIROL + OXIDO DE ZINCO POMADA,RETINOL (VITAMINA A) + COLECALCIFEROL (VITAMINA D) + OXIDO DE ZINCO (TOPICO)
SUPLEMENTO CONSISTENCIA CREMOSA FR 125G,SUPLEMENTO NUTRICIONAL
INSUL NOVORAPID 100UI/ML FR 10ML GELAD,INSULINA ASPARTE
Aciclovir 250mg Fa.,ACICLOVIR
LABIRIN COMPRIMIDO COM 24 MG (DICLORIDRATO BETAISTINA) - NP (NP),BETAISTINA
"Escetamina, cloridrato 500mg/10mL FA",DEXTROCETAMINA (ESCETAMINA)
SOLUCAO MANITOL 20% 250ML PED,MANITOL
"BRONFENIRAMINA 0,4 mg/mL + FENILEFRINA 1 mg/mL",BRONFENIRAMINA + FENILEFRINA
CARBOXIMALTOSE FERRICA 50MG/ML FA 10ML INJ (NP),CARBOXIMALTOSE FERRICA
SALMETEROL+FLUTICASONA 25+125MCG/DOSE AEROSSOL FR 120 JATOS,SALMETEROL + FLUTICASONA
"ALPHAGAN P 1,5mg/mL SOL. OFT. (brimonidina)",BRIMONIDINA (OFTALMICO)
Piridostigmina 60mg Cp.,PIRIDOSTIGMINA
Onbrize 150mcg/dose - Frasco C/ 30 Doses,INDACATEROL
"CLOREXIDINE ANT. BUCAL 0,12% SEM ALCOOL SOL. ORAL FR 30ML",CLOREXIDINA
Zinforo 600mg Frasco-ampola,CEFTAROLINA FOSAMILA
NISTATINA 100.000UI/ML - C/ 50ML,NISTATINA
Dermodex Tratamento Pomada 60g,NISTATINA + OXIDO DE ZINCO (TOPICO)
Metoprolol TARTARATO 100 mg cp,METOPROLOL TARTARATO
Surfactante Pulmonar 80mg/ml Fr-Amp 3ml,ALFAPORACTANTO (SURFACTANTE)
AMPLICTIL 25MG CP,ClorproMAZINA
Aprovel 300mg Cp rev (Não Padrão),Irbesartana
Cloreto de SÓDIO 20% NaCl amp c/ 10 ml,"CLORETO DE SODIO >=1,5% (HIPERTONICA)"
FORMOTEROL FUMARATO 12MCG+BUDESONIDA 400MCG/DOSE CAPSULA INALATORIA 60 CAPSULAS COM INALADOR ALENIA ACHE,FORMOTEROL + BUDESONIDA
DIOVAN 160MG CP,VALSARTANA
CIPROFLOXACINA 200MG/100ML EV BI/BS - CARDIOPED,CIPROFLOXACINO  
Iodopovidona 10%  Tópico Solução Aquosa Almotolia 30ml,IODOPOVIDONA (OFTALMICO)
"Atropina ( sulfato de ) 0,25 mg/1ml, injetável",ATROPINA
ACIDO. VALPROICO 250MG/5ML 100ML FR - PED,ACIDO VALPROICO (VALPROATO DE SODIO)
Nilotinibe Cap,NILOTINIBE
Zovirax 200mg Cp,ACICLOVIR
METILDOPA 500 mg,METILDOPA
Fenitoína 50mg/ml inj 5ml,FENITOINA
MANITOL 20% FR 250 ML- 3 FRS+750ML SUCO DE LIMÃO,MANITOL
Anlodipino Besilato 5mg Cp.,ANLODIPINO
Cetoconazol  20mg/g Shampoo Frasco 110ml - Medley,CETOCONAZOL (TÓPICO)
CEFEPIMA 1G SOL INJ,CEFEPIMA
VINCRISTINA 1MG - 1ML FRASCO AMPOLA,VINCRISTINA
MC: HIDROCLOROTIAZIDA 50MG ,HIDROCLOROTIAZIDA
HALOPERIDOL 5 MG/ML SOL INJ*,HaloPERidol
Ibuprofeno 600 Mg Drg.,IBUPROFENO
ANDOLBA SPRAY,BENZOCAINA + TRICLOSANA + MENTOL (TOPICO)
PROPATILNITRATO 10MG,PROPATILNITRATO
Zedora 150mg Frasco Ampola,TRASTUZUMABE
AMIODARONA 200MG - CP,AMIODARONA
"Onicit 0,25mg/5mL Inj",PALONOSETRONA
Galantamina 8mg Cp (NÃO PADRONIZADO),galantamina 
Formoterol+budesonida 6/200mg aerossol 120 doses,FORMOTEROL + BUDESONIDA
VERAPAMIL 80MG CP,VERAPAMIL
FERRO COMPLEXO COLOIDAL NORIPURUM 100MG FE III 5ML,FERRO COMPLEXO COLOIDAL
RHODIOLA ROSEA 400  mg,RHODIOLA ROSEA
FENTANIL SOLUÇÃO CONCENTRADA SG5% - 250mL,FENTANILA
CICLOBENZAPRINA 5 mg,CICLOBENZAPRINA
Tenofovir 300mg+lamivudina 300mg+ Efavirenz 600mg Cp,TENOFOVIR + LAMIVUDINA
CETOROLACO TROMETAMINA,CETOROLACO DE TROMETAMINA
Ocitocina 5 UI/mL amp 1 mL  ,ocitocina
Naturetti Cápsula,SENNA ALEXANDRIA MILLER + CASSIA FISTULA
CLORIDRATO DE BAMIFILINA 300 mg,BAMIFILINA
BIPERIDENO 2mg COMP,BIPERIDENO
BROMOPRIDA 10MG/2ML IM,BROMOPRIDA
INDACATEROL MALEATO CAPSULA INALATORIA 150MCG/DOSE 30 CAPSULAS COM INALADOR,INDACATEROL
CicloFOSFAMida 50mg Cp.,ciclofosfamida
Ureadin 10% Loção  200ml,LOCAO HIDRATANTE
Pentoxifilina 400mg Drg. ,PENTOXIFILINA
Divalproato de sódio 500mg,DIVALPROATO DE SODIO
"ENOXAPARINA 40 MG 0,4 ML SERINGA SUBCUTANEA",ENOXAPARINA SODICA
CAPECITABINA 500MG 120CP REV SUNPH GEN,CAPECITABINA
CLORIDRATO DE AMITRIPTILINA 25 mg,AMITRIPTILINA
